,Vietnamese,Positive,Negative,"Anger
/ tức giận","Anticipation
/ Hi vọng","Disgust
/ chán ghét","Fear
/ sợ hãi","Joy
/ thích thú","Sadness
/ buồn bã","Surprise
/ ngạc nhiên","Trust
/ tin tưởng",
rejuvenate,trẻ lại,1,0,0,0,0,0,0,0,0,0,1
,trễ nải,0,1,0,0,0,0,0,0,0,0,1
,trẻ nhỏ,1,0,0,0,0,0,0,0,0,0,1
,trễ tràng,0,1,0,0,0,0,0,0,0,0,1
,trên giấy tờ,0,0,0,0,0,0,0,0,0,1,1
,trên hết,1,0,0,0,0,0,0,0,0,0,1
delayed,trì hoãn,0,1,0,0,0,0,0,0,0,0,1
notion,tri thức,1,0,0,0,0,0,0,0,0,0,1
brains,trí tuệ,1,0,0,0,0,0,0,0,0,0,1
,trinh bạch,0,0,0,0,0,0,0,0,0,1,1
,trìu mến,1,0,0,0,0,0,0,0,0,0,1
ash,tro,0,1,0,0,0,0,0,0,0,0,1
granted,trợ cấp,1,0,0,0,0,0,0,0,0,0,1
,trội,1,0,0,0,0,0,0,0,0,0,1
hidden,trốn,0,1,0,0,0,0,0,0,0,0,1
glib,trơn,0,1,0,0,0,0,0,0,0,0,1
,trọn vẹn,1,0,0,0,0,0,0,0,0,0,1
inane,trống không,0,1,0,0,0,0,0,0,0,0,1
,trong lành,1,0,0,0,0,0,0,0,0,0,1
clarify,trong ra,1,0,0,0,0,0,0,0,0,0,1
,trong suốt,1,0,0,0,0,0,0,0,0,0,1
arbitration,trọng tài,0,0,0,1,0,0,0,0,0,0,1
,trong trắng,1,0,0,0,0,0,0,0,0,0,1
,trong trẻo,1,0,0,0,0,0,0,0,0,0,1
,trong tương lai,0,0,0,1,0,0,0,0,0,0,1
,trong vắt,1,0,0,0,0,0,0,0,0,0,1
,trong veo,1,0,0,0,0,0,0,0,0,0,1
,trọng yếu,0,0,0,1,0,0,0,0,0,0,1
,trừ,0,1,0,0,0,0,0,0,0,0,1
renowned,trứ danh,1,0,0,0,0,0,0,0,0,0,1
,trừng phạt,0,1,0,0,0,0,0,0,0,0,1
academy,trường chuyên nghiệp,1,0,0,0,0,0,0,0,0,0,1
investigate,truy tìm,1,0,0,0,0,0,0,0,0,0,1
disseminate,truyền bá,1,0,0,0,0,0,0,0,0,0,1
,truyền cảm hứng,1,0,0,0,0,0,0,0,0,0,1
capitalist,tư bản,1,0,0,0,0,0,0,0,0,0,1
,tự cao,0,1,0,0,0,0,0,0,0,0,1
,từ chối,0,1,0,0,0,0,0,0,0,0,1
,tự cuồng,0,1,0,0,0,0,0,0,0,0,1
,tự huyễn hoặc,0,1,0,0,0,0,0,0,0,0,1
,tự kiêu,0,1,0,0,0,0,0,0,0,0,1
,tự mãn,0,1,0,0,0,0,0,0,0,0,1
,tự mê,0,1,0,0,0,0,0,0,0,0,1
,tự nguyện,0,0,0,0,0,0,0,0,0,1,1
,tự phụ,0,1,0,0,0,0,0,0,0,0,1
,tự sướng,0,1,0,0,0,0,0,0,0,0,1
creeping,từ từ,0,0,0,1,0,0,0,0,0,0,1
cramped,tù túng,0,1,0,0,0,0,0,0,0,0,1
vocabulary,từ vựng,1,0,0,0,0,0,0,0,0,0,1
compliant,tuân theo,1,0,0,0,0,0,0,0,0,0,1
,từng li từng tí,0,0,0,0,0,0,0,0,0,1,1
,tương hợp,1,0,0,0,0,0,0,0,0,0,1
,tuỳ hứng,0,0,0,0,0,0,1,0,0,0,1
proposition,tuyên bố,1,0,0,0,0,0,0,0,0,0,1
absolute,tuyệt đối,1,0,0,0,0,0,0,0,0,0,1
,ủ ê,0,0,0,0,0,0,0,1,0,0,1
cystic,u nang,0,0,0,0,1,0,0,0,0,0,1
,ung dung,1,0,0,0,0,0,0,0,0,0,1
exhort,ủng hộ,1,0,0,0,0,0,0,0,0,0,1
redress,uốn nắn,1,0,0,0,0,0,0,0,0,0,1
drugged,uống thuốc,0,0,0,0,0,0,0,1,0,0,1
watery,ướt,0,1,0,0,0,0,0,0,0,0,1
,ướt át,0,1,0,0,0,0,0,0,0,0,1
advantage,Ưu điểm,1,0,0,0,0,0,0,0,0,0,1
,uy nghi,1,0,0,0,0,0,0,0,0,0,1
lordship,uy quyền,1,0,0,0,0,0,0,0,0,0,1
authorized,ủy quyền,1,0,0,0,0,0,0,0,0,0,1
ascendancy,uy thế,1,0,0,0,0,0,0,0,0,0,1
,uyên bác,1,0,0,0,0,0,0,0,0,0,1
bookish,uyên thâm,1,0,0,0,0,0,0,0,0,0,1
vaccine,vắc-xin,1,0,0,0,0,0,0,0,0,0,1
,văn hoá,1,0,0,0,0,0,0,0,0,0,1
,vạn năng,1,0,0,0,0,0,0,0,0,0,1
,vang lại,0,0,0,0,0,0,1,0,0,0,1
bequest,vật để lại,0,0,0,0,0,0,0,0,0,1,1
,vắt mũi đút miệng,0,1,0,0,0,0,0,0,0,0,1
,vất vả,0,1,0,0,0,0,0,0,0,0,1
peacock,vênh vang,1,0,0,0,0,0,0,0,0,0,1
,vĩ cuồng,0,1,0,0,0,0,0,0,0,0,1
differential,vi phân,0,0,0,0,0,0,0,0,0,1,1
,vị tha,1,0,0,0,0,0,0,0,0,0,1
bore,việc chán ngắt,0,1,0,0,0,0,0,0,0,0,1
aid,viện trợ,1,0,0,0,0,0,0,0,0,0,1
,viển vông,0,1,0,0,0,0,0,0,0,0,1
crack,vỡ,0,1,0,0,0,0,0,0,0,0,1
,vô bổ,0,1,0,0,0,0,0,0,0,0,1
,vô cảm,0,1,0,0,0,0,0,0,0,0,1
baseless,vô căn cứ,0,1,0,0,0,0,0,0,0,0,1
,vô danh,0,1,0,0,0,0,0,0,0,0,1
,vô dụng,0,1,0,0,0,0,0,0,0,0,1
,vô hình,0,1,0,0,0,0,0,0,0,0,1
,vô học,0,1,0,0,0,0,0,0,0,0,1
,vô ích,1,0,0,0,0,0,0,0,0,0,1
,vô lo vô nghĩ,1,0,0,0,0,0,0,0,0,0,1
,vô lương,0,1,0,0,0,0,0,0,0,0,1
absurdity,vô lý,0,1,0,0,0,0,0,0,0,0,1
,vô song,1,0,0,0,0,0,0,0,0,0,1
innocuous,vô thưởng vô phạt,1,0,0,0,0,0,0,0,0,0,1
disorganized,vô tổ chức,0,1,0,0,0,0,0,0,0,0,1
blameless,vô tội,1,0,0,0,0,0,0,0,0,0,1
,vô tư lự,0,0,0,0,0,0,1,0,0,0,1
,vô ý,0,1,0,0,0,0,0,0,0,0,1
automatic,vô ý thức,0,0,0,0,0,0,0,0,0,1,1
cursory,vội vàng,0,1,0,0,0,0,0,0,0,0,1
,vòng vo,0,1,0,0,0,0,0,0,0,0,1
battalion,vũ lực,0,0,1,0,0,0,0,0,0,0,1
aimless,vu vơ,0,1,0,0,0,0,0,0,0,0,1
,vừa hơn,1,0,0,0,0,0,0,0,0,0,1
,vừa lòng,1,0,0,0,0,0,0,0,0,0,1
,vừa phải,1,0,0,0,0,0,0,0,0,0,1
,vừa rồi,0,1,0,0,0,0,0,0,0,0,1
boon,vui tính,1,0,0,0,0,0,0,0,0,0,1
,vụn vặt,0,1,0,0,0,0,0,0,0,0,1
,vụng,0,1,0,0,0,0,0,0,0,0,1
,vững,1,0,0,0,0,0,0,0,0,0,1
,vững chãi,1,0,0,0,0,0,0,0,0,0,1
bog,vũng lầy,0,1,0,0,0,0,0,0,0,0,1
aplomb,vững lòng,1,0,0,0,0,0,0,0,0,0,1
ahead,vượt,1,0,0,0,0,0,0,0,0,0,1
tower,vượt lên,1,0,0,0,0,0,0,0,0,0,1
,vượt lên hẳn,1,0,0,0,0,0,0,0,0,0,1
exposed,vứt bỏ,0,1,0,0,0,0,0,0,0,0,1
,xa lắc,0,0,0,1,0,0,0,0,0,0,1
,xa lắc lơ,0,0,0,1,0,0,0,0,0,0,1
,xa lắc xa lơ,0,0,0,1,0,0,0,0,0,0,1
aloof,xa rời,0,1,0,0,0,0,0,0,0,0,1
,xa rời sự thật,0,0,0,1,0,0,0,0,0,0,1
,xa tắp,0,0,0,1,0,0,0,0,0,0,1
,xa tít,0,0,0,1,0,0,0,0,0,0,1
,xa tít tắp,0,0,0,1,0,0,0,0,0,0,1
,xa tít xa tắp,0,0,0,1,0,0,0,0,0,0,1
pardon,xá tội,1,0,0,0,0,0,0,0,0,0,1
,xa xôi,0,1,0,0,0,0,0,0,0,0,1
determined,xác định,1,0,0,0,0,0,0,0,0,0,1
,xác thịt,0,1,0,0,0,0,0,0,0,0,1
,xấc xược,0,1,0,0,0,0,0,0,0,0,1
,xâm chiếm,0,1,0,0,0,0,0,0,0,0,1
,xảo quyệt,0,1,0,0,0,0,0,0,0,0,1
,xấu nhất,0,1,0,0,0,0,0,0,0,0,1
befall,xảy đến,0,1,0,0,0,0,0,0,0,0,1
build,xây dựng,1,0,0,0,0,0,0,0,0,0,1
armored,xe thiết giáp,0,0,0,0,0,1,0,0,0,0,1
revise,xem lại,1,0,0,0,0,0,0,0,0,0,1
bonds,xiềng xích,0,1,0,0,0,0,0,0,0,0,1
alluring,xiêu lòng,1,0,0,0,0,0,0,0,0,0,1
soothe,xoa dịu,1,0,0,0,0,0,0,0,0,0,1
crank,xộc xệch,0,1,0,0,0,0,0,0,0,0,1
,xong,1,0,0,0,0,0,0,0,0,0,1
,xù xì,0,1,0,0,0,0,0,0,0,0,1
,xui xẻo,0,1,0,0,0,0,0,0,0,0,1
,xung khắc,0,1,0,0,0,0,0,0,0,0,1
needle,xuyên qua,1,0,0,0,0,0,0,0,0,0,1
,ý nghĩa,1,0,0,0,0,0,0,0,0,0,1
consciousness,ý thức,1,0,0,0,0,0,0,0,0,0,1
,yên tâm,0,0,0,0,0,0,0,0,0,1,1
,yếu,0,1,0,0,0,0,0,0,0,0,1
chicken,yếu bóng vía,0,0,0,0,0,1,0,0,0,0,1
,yêu đời,0,0,0,0,0,0,1,0,0,0,1
,yếu hèn,0,1,0,0,0,0,0,0,0,0,1
,yêu kiều,1,0,0,0,0,0,0,0,0,0,1
,yếu ớt,0,1,0,0,0,0,0,0,0,0,1
,yêu sách,0,1,0,0,0,0,0,0,0,0,1
,5,0,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0,0
,100,0,0,0,0,0,0,0,0,0,0,0
,(của) tháng này,0,0,0,0,0,0,0,0,0,0,0
,(thuộc) môn phái,0,0,0,0,0,0,0,0,0,0,0
,ấm,0,0,0,0,0,0,0,0,0,0,0
,ẩm,0,0,0,0,0,0,0,0,0,0,0
bass,âm bass,0,0,0,0,0,0,0,0,0,0,0
,âm cao,0,0,0,0,0,0,0,0,0,0,0
,ảm đảm,0,0,0,0,0,0,0,0,0,0,0
,ấm nóng,0,0,0,0,0,0,0,0,0,0,0
,ẩm thấp,0,0,0,0,0,0,0,0,0,0,0
,âm tiết,0,0,0,0,0,0,0,0,0,0,0
,âm xát,0,0,0,0,0,0,0,0,0,0,0
eating,ăn,0,0,0,0,0,0,0,0,0,0,0
,ăn chơi,0,0,0,0,0,0,0,0,0,0,0
,ăn cỏ,0,0,0,0,0,0,0,0,0,0,0
,ẩn dụ,0,0,0,0,0,0,0,0,0,0,0
edible,ăn được,0,0,0,0,0,0,0,0,0,0,0
,ăn lương,0,0,0,0,0,0,0,0,0,0,0
,ăn mồi sống,0,0,0,0,0,0,0,0,0,0,0
,ăn năn hối lỗi,0,0,0,0,0,0,0,0,0,0,0
,ăn ô xi,0,0,0,0,0,0,0,0,0,0,0
,ăn ôxi,0,0,0,0,0,0,0,0,0,0,0
,ăn ô-xi,0,0,0,0,0,0,0,0,0,0,0
,an phận,0,0,0,0,0,0,0,0,0,0,0
,ăn sâu bọ,0,0,0,0,0,0,0,0,0,0,0
,ắng,0,0,0,0,0,0,0,0,0,0,0
antenna,ăng-ten,0,0,0,0,0,0,0,0,0,0,0
,anh em,0,0,0,0,0,0,0,0,0,0,0
,ảnh hưởng,0,0,0,0,0,0,0,0,0,0,0
,ảnh hưởng lẫn nhau,0,0,0,0,0,0,0,0,0,0,0
antimony,antimon,0,0,0,0,0,0,0,0,0,0,0
pond,ao,0,0,0,0,0,0,0,0,0,0,0
,ào,0,0,0,0,0,0,0,0,0,0,0
,ảo,0,0,0,0,0,0,0,0,0,0,0
piscina,ao cá,0,0,0,0,0,0,0,0,0,0,0
blouse,áo cánh,0,0,0,0,0,0,0,0,0,0,0
tunic,áo chiến,0,0,0,0,0,0,0,0,0,0,0
cloak,áo choàng,0,0,0,0,0,0,0,0,0,0,0
turtleneck,áo cổ lọ,0,0,0,0,0,0,0,0,0,0,0
frock,áo dài,0,0,0,0,0,0,0,0,0,0,0
vest,áo gi lê,0,0,0,0,0,0,0,0,0,0,0
pillowcase,áo gối,0,0,0,0,0,0,0,0,0,0,0
coat,áo khoác,0,0,0,0,0,0,0,0,0,0,0
sweater,áo len,0,0,0,0,0,0,0,0,0,0,0
bodice,áo lót,0,0,0,0,0,0,0,0,0,0,0
raincoat,áo mưa,0,0,0,0,0,0,0,0,0,0,0
pajamas,áo ngủ,0,0,0,0,0,0,0,0,0,0,0
cardigan,áo nịt,0,0,0,0,0,0,0,0,0,0,0
jersey,áo nịt len,0,0,0,0,0,0,0,0,0,0,0
corset,áo nịt ngực,0,0,0,0,0,0,0,0,0,0,0
chemise,áo sơ mi,0,0,0,0,0,0,0,0,0,0,0
camisole,áo yếm,0,0,0,0,0,0,0,0,0,0,0
impose,áp đặt,0,0,0,0,0,0,0,0,0,0,0
applicability,áp dụng,0,0,0,0,0,0,0,0,0,0,0
poster,áp phích,0,0,0,0,0,0,0,0,0,0,0
brood,ấp trứng,0,0,0,0,0,0,0,0,0,0,0
artichoke,atisô,0,0,0,0,0,0,0,0,0,0,0
,ba,0,0,0,0,0,0,0,0,0,0,0
madam,bà,0,0,0,0,0,0,0,0,0,0,0
,ba chiều,0,0,0,0,0,0,0,0,0,0,0
hegemonic,bá chủ,0,0,0,0,0,0,0,0,0,0,0
,bà già,0,0,0,0,0,0,0,0,0,0,0
,ba góc,0,0,0,0,0,0,0,0,0,0,0
trine,ba lần,0,0,0,0,0,0,0,0,0,0,0
,ba láp,0,0,0,0,0,0,0,0,0,0,0
,ba lỗ,0,0,0,0,0,0,0,0,0,0,0
housewife,bà nội trợ,0,0,0,0,0,0,0,0,0,0,0
fairy,bà tiên,0,0,0,0,0,0,0,0,0,0,0
wick,bấc,0,0,0,0,0,0,0,0,0,0,0
,bắc,0,0,0,0,0,0,0,0,0,0,0
,bạc đầu,0,0,0,0,0,0,0,0,0,0,0
,bạc màu,0,0,0,0,0,0,0,0,0,0,0
,bậc nhất,0,0,0,0,0,0,0,0,0,0,0
surgeon,bác sĩ phẫu thuật,0,0,0,0,0,0,0,0,0,0,0
vet,bác sĩ thú y,0,0,0,0,0,0,0,0,0,0,0
,bạc tóc,0,0,0,0,0,0,0,0,0,0,0
,bậc trung,0,0,0,0,0,0,0,0,0,0,0
,bạch,0,0,0,0,0,0,0,0,0,0,0
caper,bạch hoa,0,0,0,0,0,0,0,0,0,0,0
onyx,bạch ngọc,0,0,0,0,0,0,0,0,0,0,0
petting,bách thú,0,0,0,0,0,0,0,0,0,0,0
dump,bãi,0,0,0,0,0,0,0,0,0,0,0
,bại,0,0,0,0,0,0,0,0,0,0,0
article,bài báo,0,0,0,0,0,0,0,0,0,0,0
report,bài báo cáo,0,0,0,0,0,0,0,0,0,0,0
shoals,bãi cát ngầm,0,0,0,0,0,0,0,0,0,0,0
homily,bài dạy buồn tẻ,0,0,0,0,0,0,0,0,0,0,0
answer,bài giải,0,0,0,0,0,0,0,0,0,0,0
lecture,bài giảng,0,0,0,0,0,0,0,0,0,0,0
song,bài hát,0,0,0,0,0,0,0,0,0,0,0
lullaby,bài hát ru con,0,0,0,0,0,0,0,0,0,0,0
anthem,bài quốc ca,0,0,0,0,0,0,0,0,0,0,0
exercise,bài tập,0,0,0,0,0,0,0,0,0,0,0
ode,bài thơ ngắn để hát,0,0,0,0,0,0,0,0,0,0,0
essay,bài văn,0,0,0,0,0,0,0,0,0,0,0
,bám chặt,0,0,0,0,0,0,0,0,0,0,0
adhesion,bám dính,0,0,0,0,0,0,0,0,0,0,0
inborn,bẫm sinh,0,0,0,0,0,0,0,0,0,0,0
congenital,bẩm sinh,0,0,0,0,0,0,0,0,0,0,0
cling,bám vào,0,0,0,0,0,0,0,0,0,0,0
sell,bán,0,0,0,0,0,0,0,0,0,0,0
desk,bàn,0,0,0,0,0,0,0,0,0,0,0
firing,bắn,0,0,0,0,0,0,0,0,0,0,0
,bận,0,0,0,0,0,0,0,0,0,0,0
hemisphere,bán cầu,0,0,0,0,0,0,0,0,0,0,0
feet,bàn chân,0,0,0,0,0,0,0,0,0,0,0
,bản chất,0,0,0,0,0,0,0,0,0,0,0
bestow,ban cho,0,0,0,0,0,0,0,0,0,0,0
balcony,ban công,0,0,0,0,0,0,0,0,0,0,0
,bán công,0,0,0,0,0,0,0,0,0,0,0
classmate,bạn cùng lớp,0,0,0,0,0,0,0,0,0,0,0
,bán dẫn,0,0,0,0,0,0,0,0,0,0,0
peninsula,bán đảo,0,0,0,0,0,0,0,0,0,0,0
,ban đầu,0,0,0,0,0,0,0,0,0,0,0
,bản địa,0,0,0,0,0,0,0,0,0,0,0
atlas,bản đồ,0,0,0,0,0,0,0,0,0,0,0
colleague,bạn đồng nghiệp,0,0,0,0,0,0,0,0,0,0,0
heirloom,bàn ghế thừa tự,0,0,0,0,0,0,0,0,0,0,0
enact,ban hành,0,0,0,0,0,0,0,0,0,0,0
retail,bán lẻ,0,0,0,0,0,0,0,0,0,0,0
hinge,bản lề,0,0,0,0,0,0,0,0,0,0,0
,bản năng,0,0,0,0,0,0,0,0,0,0,0
ego,bản ngã,0,0,0,0,0,0,0,0,0,0,0
,ban ngày,0,0,0,0,0,0,0,0,0,0,0
extravaganza,bản nhạc,0,0,0,0,0,0,0,0,0,0,0
firework,bắn pháo hoa,0,0,0,0,0,0,0,0,0,0,0
,bận rộn,0,0,0,0,0,0,0,0,0,0,0
peddle,bán rong,0,0,0,0,0,0,0,0,0,0,0
grocer,bán tạp hóa,0,0,0,0,0,0,0,0,0,0,0
ontology,bản thể học,0,0,0,0,0,0,0,0,0,0,0
,bẩn thỉu,0,0,0,0,0,0,0,0,0,0,0
altar,bàn thờ,0,0,0,0,0,0,0,0,0,0,0
,bán thời gian,0,0,0,0,0,0,0,0,0,0,0
text,bản văn,0,0,0,0,0,0,0,0,0,0,0
drawing,bản vẽ,0,0,0,0,0,0,0,0,0,0,0
manuscript,bản viết tay,0,0,0,0,0,0,0,0,0,0,0
,bản xứ,0,0,0,0,0,0,0,0,0,0,0
,bằng,0,0,0,0,0,0,0,0,0,0,0
,bằng ba lần,0,0,0,0,0,0,0,0,0,0,0
,bằng bạc,0,0,0,0,0,0,0,0,0,0,0
quotation,bảng báo giá,0,0,0,0,0,0,0,0,0,0,0
bandage,băng bó,0,0,0,0,0,0,0,0,0,0,0
alphabet,bảng chữ cái,0,0,0,0,0,0,0,0,0,0,0
evidence,bằng chứng,0,0,0,0,0,0,0,0,0,0,0
blackboard,bảng đen,0,0,0,0,0,0,0,0,0,0,0
dashboard,bảng điều khiển,0,0,0,0,0,0,0,0,0,0,0
,bằng đồng,0,0,0,0,0,0,0,0,0,0,0
wooden,bằng gỗ,0,0,0,0,0,0,0,0,0,0,0
glacier,băng hà,0,0,0,0,0,0,0,0,0,0,0
,bằng hai lần,0,0,0,0,0,0,0,0,0,0,0
,bằng hàng,0,0,0,0,0,0,0,0,0,0,0
,bàng hoàng,0,0,0,0,0,0,0,0,0,0,0
guild,bang hội,0,0,0,0,0,0,0,0,0,0,0
,bằng lời,0,0,0,0,0,0,0,0,0,0,0
,bằng lời nói,0,0,0,0,0,0,0,0,0,0,0
,bằng miệng,0,0,0,0,0,0,0,0,0,0,0
,bằng mười lần,0,0,0,0,0,0,0,0,0,0,0
,bằng nhạc cụ,0,0,0,0,0,0,0,0,0,0,0
,bằng nhạc khí,0,0,0,0,0,0,0,0,0,0,0
,bằng nhau,0,0,0,0,0,0,0,0,0,0,0
,bằng phẳng,0,0,0,0,0,0,0,0,0,0,0
,bâng quơ,0,0,0,0,0,0,0,0,0,0,0
,bằng sừng,0,0,0,0,0,0,0,0,0,0,0
,bằng tay,0,0,0,0,0,0,0,0,0,0,0
,bằng tiền,0,0,0,0,0,0,0,0,0,0,0
,bằng vai,0,0,0,0,0,0,0,0,0,0,0
written,bằng văn bản,0,0,0,0,0,0,0,0,0,0,0
pie,bánh,0,0,0,0,0,0,0,0,0,0,0
,bảnh,0,0,0,0,0,0,0,0,0,0,0
gingerbread,bánh gừng,0,0,0,0,0,0,0,0,0,0,0
pancake,bánh kếp,0,0,0,0,0,0,0,0,0,0,0
helm,bánh lái,0,0,0,0,0,0,0,0,0,0,0
bread,bánh mì,0,0,0,0,0,0,0,0,0,0,0
cake,bánh ngọt,0,0,0,0,0,0,0,0,0,0,0
doughnut,bánh rán,0,0,0,0,0,0,0,0,0,0,0
enlargement,bành trướng,0,0,0,0,0,0,0,0,0,0,0
banjo,bánh vi sai,0,0,0,0,0,0,0,0,0,0,0
wheel,bánh xe,0,0,0,0,0,0,0,0,0,0,0
,bao,0,0,0,0,0,0,0,0,0,0,0
,bạo,0,0,0,0,0,0,0,0,0,0,0
,bao dung,0,0,0,0,0,0,0,0,0,0,0
,bao gồm toàn diện,0,0,0,0,0,0,0,0,0,0,0
,bao gộp,0,0,0,0,0,0,0,0,0,0,0
,bao hàm,0,0,0,0,0,0,0,0,0,0,0
,bao hàm toàn diện,0,0,0,0,0,0,0,0,0,0,0
insurance,bảo hiểm,0,0,0,0,0,0,0,0,0,0,0
,bão hoà,0,0,0,0,0,0,0,0,0,0,0
,bao la,0,0,0,0,0,0,0,0,0,0,0
,bao phủ,0,0,0,0,0,0,0,0,0,0,0
,bao quanh,0,0,0,0,0,0,0,0,0,0,0
,bao quát,0,0,0,0,0,0,0,0,0,0,0
museum,bảo tàng,0,0,0,0,0,0,0,0,0,0,0
,bảo toàn nhiệt,0,0,0,0,0,0,0,0,0,0,0
patronize,bảo trợ,0,0,0,0,0,0,0,0,0,0,0
,bất bạo động,0,0,0,0,0,0,0,0,0,0,0
,bất bình thường,0,0,0,0,0,0,0,0,0,0,0
,bắt buộc,0,0,0,0,0,0,0,0,0,0,0
,bắt chéo,0,0,0,0,0,0,0,0,0,0,0
,bất chính,0,0,0,0,0,0,0,0,0,0,0
beginning,bắt đầu,0,0,0,0,0,0,0,0,0,0,0
,bắt đầu xế chiều,0,0,0,0,0,0,0,0,0,0,0
,bất di bất dịch,0,0,0,0,0,0,0,0,0,0,0
,bất diệt,0,0,0,0,0,0,0,0,0,0,0
,bất định,0,0,0,0,0,0,0,0,0,0,0
,bất khả xâm phạm,0,0,0,0,0,0,0,0,0,0,0
,bát ngát,0,0,0,0,0,0,0,0,0,0,0
,bắt nhặt,0,0,0,0,0,0,0,0,0,0,0
,bất quy tắc,0,0,0,0,0,0,0,0,0,0,0
,bắt tai,0,0,0,0,0,0,0,0,0,0,0
,bất trắc,0,0,0,0,0,0,0,0,0,0,0
,bầu bĩnh,0,0,0,0,0,0,0,0,0,0,0
,bảy,0,0,0,0,0,0,0,0,0,0,0
trap,bẩy,0,0,0,0,0,0,0,0,0,0,0
,bấy giờ,0,0,0,0,0,0,0,0,0,0,0
,bày tỏ sự kính cẩn,0,0,0,0,0,0,0,0,0,0,0
,bày tỏ sự kính trọng,0,0,0,0,0,0,0,0,0,0,0
,ba-zơ,0,0,0,0,0,0,0,0,0,0,0
,bé,0,0,0,0,0,0,0,0,0,0,0
,be bé,0,0,0,0,0,0,0,0,0,0,0
,bè bè,0,0,0,0,0,0,0,0,0,0,0
piscina,bể bơi,0,0,0,0,0,0,0,0,0,0,0
bend,bẻ cong,0,0,0,0,0,0,0,0,0,0,0
,bé dần,0,0,0,0,0,0,0,0,0,0,0
,bẻ đôi,0,0,0,0,0,0,0,0,0,0,0
,bè lũ,0,0,0,0,0,0,0,0,0,0,0
,bề mặt,0,0,0,0,0,0,0,0,0,0,0
,bề ngang,0,0,0,0,0,0,0,0,0,0,0
,bề ngoài,0,0,0,0,0,0,0,0,0,0,0
,bé nhỏ,0,0,0,0,0,0,0,0,0,0,0
aquarium,bể nuôi cá,0,0,0,0,0,0,0,0,0,0,0
,bề rộng,0,0,0,0,0,0,0,0,0,0,0
,bé thơ,0,0,0,0,0,0,0,0,0,0,0
,bé tí,0,0,0,0,0,0,0,0,0,0,0
,bé tị,0,0,0,0,0,0,0,0,0,0,0
,bên,0,0,0,0,0,0,0,0,0,0,0
,bên cạnh,0,0,0,0,0,0,0,0,0,0,0
,bên dưới,0,0,0,0,0,0,0,0,0,0,0
,bên kia,0,0,0,0,0,0,0,0,0,0,0
transatlantic,bên kia Đại Tây Dương,0,0,0,0,0,0,0,0,0,0,0
,bên lề,0,0,0,0,0,0,0,0,0,0,0
,bẽn lẽn,0,0,0,0,0,0,0,0,0,0,0
,bên mép,0,0,0,0,0,0,0,0,0,0,0
,bên ngoài,0,0,0,0,0,0,0,0,0,0,0
,bên phải,0,0,0,0,0,0,0,0,0,0,0
,bên rìa,0,0,0,0,0,0,0,0,0,0,0
,bên trái,0,0,0,0,0,0,0,0,0,0,0
,bên trên,0,0,0,0,0,0,0,0,0,0,0
,bên trong,0,0,0,0,0,0,0,0,0,0,0
benzene,benzen,0,0,0,0,0,0,0,0,0,0,0
,béo đỏ,0,0,0,0,0,0,0,0,0,0,0
,bét bát,0,0,0,0,0,0,0,0,0,0,0
,bết bát,0,0,0,0,0,0,0,0,0,0,0
,bị ảnh hưởng,0,0,0,0,0,0,0,0,0,0,0
,bị bại sản,0,0,0,0,0,0,0,0,0,0,0
,bị bỏ,0,0,0,0,0,0,0,0,0,0,0
,bị bổ,0,0,0,0,0,0,0,0,0,0,0
,bị bỏ bùa,0,0,0,0,0,0,0,0,0,0,0
,bị cai trị,0,0,0,0,0,0,0,0,0,0,0
,bị cạn,0,0,0,0,0,0,0,0,0,0,0
,bị cản trở,0,0,0,0,0,0,0,0,0,0,0
,bị cắt,0,0,0,0,0,0,0,0,0,0,0
,bị che khuất,0,0,0,0,0,0,0,0,0,0,0
,bị che lại,0,0,0,0,0,0,0,0,0,0,0
,bị chiếm,0,0,0,0,0,0,0,0,0,0,0
,bị chiếm đóng,0,0,0,0,0,0,0,0,0,0,0
,bị chinh phục,0,0,0,0,0,0,0,0,0,0,0
,bị cưa ngắn,0,0,0,0,0,0,0,0,0,0,0
,bị đánh thuế,0,0,0,0,0,0,0,0,0,0,0
,bị đè nặng,0,0,0,0,0,0,0,0,0,0,0
,bị gói,0,0,0,0,0,0,0,0,0,0,0
,bị gói lại,0,0,0,0,0,0,0,0,0,0,0
,bị kích động,0,0,0,0,0,0,0,0,0,0,0
,bị làm nhỏ tiếng lại,0,0,0,0,0,0,0,0,0,0,0
compressed,bị nén,0,0,0,0,0,0,0,0,0,0,0
,bị ngăn cấm,0,0,0,0,0,0,0,0,0,0,0
,bị ngăn chặn,0,0,0,0,0,0,0,0,0,0,0
,bị nghẽn,0,0,0,0,0,0,0,0,0,0,0
,bị phủ,0,0,0,0,0,0,0,0,0,0,0
,bị rút hết,0,0,0,0,0,0,0,0,0,0,0
,bị suy dinh dưỡng,0,0,0,0,0,0,0,0,0,0,0
,bị tắc nghẽn,0,0,0,0,0,0,0,0,0,0,0
,bị tách ra,0,0,0,0,0,0,0,0,0,0,0
,bị thất lạc,0,0,0,0,0,0,0,0,0,0,0
,"bị thống trị,",0,0,0,0,0,0,0,0,0,0,0
,bị trị,0,0,0,0,0,0,0,0,0,0,0
